Name,Rebounds
Cole Anthony,4.349687494317916
Paolo Banchero,1.2402402952532388
Goga Bitadze,5.6545662973761175
Anthony Black,4.812263705434713
Kentavious Caldwell-Pope,5.563079090450509
Wendell Carter Jr.,8.310635698210099
Caleb Houstan,3.4682390937224863
Jonathan Isaac,6.614687764134642
Franz Wagner,0.32811918121607514
Tristan da Silva,3.8600442165154405
Clint Capela,-2.6187834334265836
Mouhamed Gueye,8.681666837867585
Terance Mann,7.709368742238814
Jalen Johnson,-1.805970122251861
Vit Krejci,6.346056511997704
Onyeka Okongwu,1.5253867472373965
Zaccharie Risacher,10.667457358175833
Keaton Wallace,6.529013929824222
Trae Young,-2.8059644303372338
Malik Beasley,4.104238330893058
Cade Cunningham,0.84295787743409
Jalen Duren,8.875319214468552
Simone Fontecchio,2.212242917864663
Tim Hardaway Jr.,3.7942502361938386
Tobias Harris,4.382765607157034
Ron Holland,2.077248247133088
Wendell Moore Jr.,3.8808986984516265
Paul Reed,3.5143567670415248
Marcus Sasser,2.4628281423851544
Cole Swider,2.7358999255064926
Lindy Waters III,1.285224808254708
Dennis Schroder,4.330282140438308
Giannis Antetokounmpo,3.172725681936628
Pat Connaughton,15.224701916594402
AJ Green,27.075998256478922
Damian Lillard,-2.2218374911012666
Bobby Portis,2.4008770654206737
Kyle Kuzma,49.073906773895395
Matas Buzelis,4.55918623164143
Jevon Carter,1.5075763030077969
Torrey Craig,4.29764001810144
Josh Giddey,2.9967949803042764
Talen Horton-Tucker,1.6895290662582036
Zach Collins,5.945788388958849
Julian Phillips,1.692276968357219
Jalen Smith,6.583649304854774
Dalen Terry,2.759629725672264
Nikola Vucevic,8.447471657973155
Coby White,4.243155008018739
Patrick Williams,3.269642519692118
Kevin Huerter,3.5852857413758965
Adem Bona,9.190789926620457
Ricky Council IV,5.138518025872591
Jeff Dowtin,4.485109247198574
Joel Embiid,0.2813744168836735
Paul George,-1.5460806552626445
Quentin Grimes,7.978599736219673
Tyrese Maxey,-1.6111013617883998
Lester Quinones,0.6880653407035364
Jared Butler,4.884321807067874
Lonnie Walker,6.172198287110611
Bam Adebayo,2.633192476604173
Thomas Bryant,4.756411752712286
Tyler Herro,-0.028123381850559015
Haywood Highsmith,6.282631672920114
Jaime Jaquez Jr.,3.685914390500087
Duncan Robinson,3.8744081341304044
Terry Rozier,4.965944623892784
Kel'el Ware,10.423289876396481
Kyle Anderson,6.2632927341591556
Davion Mitchell,7.960492583396651
Khris Middleton,-1.614952601692706
Bub Carrington,6.35526727369879
Justin Champagnie,7.225072895676576
Kyshawn George,8.626495635237273
AJ Johnson,3.92843736448014
Jordan Poole,-2.2991422760539098
Alex Sarr,5.39538350060221
Tristan Vukcevic,3.5398591549700624
Marcus Smart,3.003241127201192
Colby Jones,4.565379177612177
Tyrese Haliburton,-0.8490608624278049
Bennedict Mathurin,0.022531212979003234
T.J. McConnell,5.680974070544722
Andrew Nembhard,9.597656521536724
Aaron Nesmith,9.0773974805909
Pascal Siakam,1.292749909753181
Obi Toppin,7.165280204735468
Myles Turner,11.322133590258275
Jarace Walker,7.10411156109859
Jarrett Allen,876.7441484440432
Darius Garland,-1.374216279019734
De'Andre Hunter,-0.4377686659991484
Donovan Mitchell,-0.058869824153806094
Evan Mobley,2.9661324779972054
Precious Achiuwa,7.590442141519708
Mikal Bridges,13.727545116435051
Jalen Brunson,-2.425251811718624
Josh Hart,1.6119549826750772
Tyler Kolek,2.6247842806064314
Miles McBride,3.4931590912676556
Cameron Payne,3.2123071013119535
Delon Wright,9.53761400484698
Karl-Anthony Towns,3.9005848130028644
Nicolas Claxton,7.219005511470551
Maxwell Lewis,3.6455859170526743
Cameron Johnson,-1.2086543373322294
Keon Johnson,4.179406526459148
Tyrese Martin,4.817338244261001
Jaylen Martin,4.4371667382817135
Cameron Thomas,-2.5419270112047667
Trendon Watford,4.180531386855345
Dariq Whitehead,2.685987610284517
Jalen Wilson,4.959189031016961
D'Angelo Russell,-2.230987681861556
Jaylen Brown,0.5247539797378442
Sam Hauser,12.516151954121472
Luke Kornet,12.865292312749954
Kristaps Porzingis,1.9025492038970722
Payton Pritchard,17.82651142250051
Neemias Queta,11.541899042241651
Baylor Scheierman,6.4548466071968615
Jayson Tatum,2.426497953348057
Derrick White,0.764732220947077
LaMelo Ball,-0.7656549684497209
Miles Bridges,1.6071514127665179
Seth Curry,4.789832665162628
Moussa Diabate,6.977305141044004
DaQuan Jeffries,5.696960253248816
Brandon Miller,-1.205649279207345
Josh Okogie,4.618599097573814
Tidjane Salaun,8.80504135377154
KJ Simpson,7.41423727005602
Jusuf Nurkic,7.346858327648057
Devin Carter,1.401614801009094
DeMar DeRozan,5.653778862899878
Keon Ellis,4.521704161496532
Trey Lyles,5.767495305375745
Malik Monk,-0.3926111261796183
Keegan Murray,6.450139007171706
Orlando Robinson,6.537190561150022
Domantas Sabonis,11.683004777359885
Zach LaVine,6.372409652906312
Grayson Allen,4.724753715808807
Bradley Beal,-1.5389235971403892
Devin Booker,-1.198511942596027
Ryan Dunn,6.959729493983599
Kevin Durant,0.26867947343987686
Collin Gillespie,5.21815738514761
Oso Ighodaro,6.116118569179576
Tyus Jones,3.752497572985016
Cody Martin,3.9635399545381143
Royce O'Neale,5.414063852767911
Mason Plumlee,8.14829901357454
Deni Avdija,8.582991548973867
Deandre Ayton,-0.7206015739201956
Dalano Banton,3.4581975058305128
Toumani Camara,5.5554354921615525
Donovan Clingan,6.920295783142005
Jerami Grant,-1.8465782491931058
Kris Murray,2.6614546648854374
Duop Reath,3.013140869295298
Rayan Rupert,1.213236953166036
Shaedon Sharpe,6.54169582441878
Anfernee Simons,-1.7456843264553803
Matisse Thybulle,4.0633876175385
Jabari Walker,4.985319798477206
Jaxson Hayes,12.156564009194419
LeBron James,-0.36150868559179455
Austin Reaves,-1.2777316725182715
Jarred Vanderbilt,16.8996948002766
Gabe Vincent,14.527465148281522
Luka Doncic,0.38084259297120854
Dalton Knecht,13.122797586101168
Jimmy Butler,4.888112758800738
Stephen Curry,4.754723194031169
Draymond Green,5.728006546105925
Buddy Hield,2.9178280550621754
Jonathan Kuminga,3.3716255197334974
Kevon Looney,4.623480864664063
Moses Moody,2.938101507287631
Brandin Podziemski,5.14581797404509
Quinten Post,1.054805842301655
Gui Santos,1.2440440875884322
Kris Dunn,3.467438775322483
James Harden,5.002079234605364
Kai Jones,4.901757750964117
Derrick Jones Jr.,3.24683696239857
Kawhi Leonard,6.883653978886312
Norman Powell,3.1842608598986324
Ivica Zubac,10.175215249433814
Bogdan Bogdanovic,3.4144491944213957
Ben Simmons,2.5662275485892714
Harrison Barnes,5.567888269446683
Malaki Branham,1.2218117745315489
Stephon Castle,7.068161867873104
Julian Champagnie,5.012940638421905
De'Aaron Fox,-2.6073313161855154
Keldon Johnson,4.9809979805914315
Sandro Mamukelashvili,4.71556017620389
Chris Paul,4.354180162434937
Devin Vassell,-1.1544204903904465
Victor Wembanyama,-0.9333729688536607
Blake Wesley,2.2264724330120735
Ochai Agbaji,6.955159875728762
Scottie Barnes,7.922616667204148
RJ Barrett,-0.4045127053305339
Jamison Battle,5.526559707197827
P.J. Tucker,4.658553939701293
Gradey Dick,-2.2643017612079097
Jonathan Mogbo,10.657207046490871
Jakob Poeltl,2.6373229361031827
Jamal Shead,5.001037788056888
Brandon Ingram,-2.069239641630645
Shai Gilgeous-Alexander,-1.2500666097166295
Isaiah Hartenstein,2.6022996310963293
Chet Holmgren,1.2418517602922252
Isaiah Joe,9.269466975375586
Dillon Jones,9.933687106340994
Aaron Wiggins,10.462872403633138
Kenrich Williams,6.447955671827903
Jalen Williams,-0.779124542070325
Jaylin Williams,10.12510729095548
Jose Alvarado,5.396330043197639
Keion Brooks Jr.,5.9023565157884805
Jamal Cain,2.9595880404352544
Javonte Green,5.716377837953142
CJ McCollum,-0.5798965388992188
Trey Murphy III,-1.9782677574537622
Dejounte Murray,-1.7777726129765434
Elfrid Payton,4.101324652063242
Antonio Reeves,4.812008516896838
Jeremiah Robinson-Earl,5.389535984662136
Zion Williamson,-2.1272281819045777
Nickeil Alexander-Walker,5.815027618548931
Mike Conley,4.49706539973609
Donte DiVincenzo,4.914509613291201
Anthony Edwards,7.186847844810512
Rudy Gobert,11.679064250255676
Jaden McDaniels,6.733327555178872
Julius Randle,7.918095564373546
Naz Reid,6.439009757740727
Jordan Clarkson,-1.342596970304987
Jalen Hood-Schifino,1.8209044097145552
Kyle Filipowski,7.737025717739058
Keyonte George,4.587239202914925
Johnny Juzang,4.1711749507331755
Walker Kessler,3.5138834623273327
Lauri Markkanen,-1.99949684864194
Svi Mykhailiuk,1.8857689615150468
Micah Potter,4.1225652222116755
Brice Sensabaugh,4.445713432921697
Collin Sexton,2.96549593866088
Oscar Tshiebwe,7.797113322627756
Spencer Dinwiddie,7.0182619399293085
Anthony Davis,3.4555395375509566
Daniel Gafford,7.560818047318357
Caleb Martin,5.047517575834398
Jaden Hardy,3.023623332171109
Kyrie Irving,-1.1546249418484171
Max Christie,5.288138592930359
Dereck Lively II,5.593411807351471
Naji Marshall,8.836398861670858
P.J. Washington,0.937513438498728
Brandon Williams,3.9034579073410267
Santi Aldama,4.51115453987105
Desmond Bane,4.340982741250576
Zach Edey,7.32693899664384
Jay Huff,1.4190167249316588
Jaren Jackson Jr.,4.598618211282824
Yuki Kawamura,1.017545748811294
Luke Kennard,1.7314052021524677
John Konchar,5.7321006001685895
Ja Morant,3.5432565700597
Miles Norris,1.32938737460871
Scotty Pippen Jr.,2.4897935798900166
Christian Braun,5.2210732378514635
Aaron Gordon,4.719989753541489
Nikola Jokic,10.293976715814471
Spencer Jones,1.0434782983066526
DeAndre Jordan,5.912844561249816
Jamal Murray,3.1247329996904587
Zeke Nnaji,0.5513167856253345
Jalen Pickett,2.1648259272515746
Michael Porter Jr.,5.880191807302394
Peyton Watson,3.558137563717599
Russell Westbrook,3.434520081669968
Steven Adams,6.924126805322876
Dillon Brooks,2.3406269019097117
N'Faly Dante,1.5944483178924562
Tari Eason,4.47779934326633
Jalen Green,3.672456816112079
Aaron Holiday,0.357626067103646
Jock Landale,3.636205109048701
Alperen Sengun,7.613547012081957
Jabari Smith,6.636388877902542
Amen Thompson,6.101361788739583
Fred VanVleet,3.1645065884460597
Jaden Springer,6.075551258099145
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
